id,index,period,timestamp,minute,second,type/id,type/name,possession,possession_team/id,possession_team/name,play_pattern/id,play_pattern/name,team/id,team/name,player/id,player/name,position/id,position/name,location/0,location/1,duration,related_events/0,pass/recipient/id,pass/recipient/name,pass/length,pass/angle,pass/height/id,pass/height/name,pass/end_location/0,pass/end_location/1,pass/body_part/id,pass/body_part/name,pass/type/id,pass/type/name,related_events/1,carry/end_location/0,carry/end_location/1,pass/outcome/id,pass/outcome/name,under_pressure,duel/type/id,duel/type/name,related_events/2,related_events/3,pass/aerial_won,ball_receipt/outcome/id,ball_receipt/outcome/name,counterpress,out,pass/switch,goalkeeper/type/id,goalkeeper/type/name,goalkeeper/outcome/id,goalkeeper/outcome/name,off_camera,foul_won/defensive,dribble/outcome/id,dribble/outcome/name,pass/cross,clearance/body_part/id,clearance/body_part/name,clearance/right_foot,duel/outcome/id,duel/outcome/name,ball_recovery/recovery_failure,clearance/head,pass/assisted_shot_id,pass/goal_assist,shot/statsbomb_xg,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/key_pass_id,shot/body_part/id,shot/body_part/name,shot/technique/id,shot/technique/name,shot/deflected,shot/type/id,shot/type/name,shot/outcome/id,shot/outcome/name,shot/freeze_frame/0/location/0,shot/freeze_frame/0/location/1,shot/freeze_frame/0/player/id,shot/freeze_frame/0/player/name,shot/freeze_frame/0/position/id,shot/freeze_frame/0/position/name,shot/freeze_frame/0/teammate,shot/freeze_frame/1/location/0,shot/freeze_frame/1/location/1,shot/freeze_frame/1/player/id,shot/freeze_frame/1/player/name,shot/freeze_frame/1/position/id,shot/freeze_frame/1/position/name,shot/freeze_frame/1/teammate,shot/freeze_frame/2/location/0,shot/freeze_frame/2/location/1,shot/freeze_frame/2/player/id,shot/freeze_frame/2/player/name,shot/freeze_frame/2/position/id,shot/freeze_frame/2/position/name,shot/freeze_frame/2/teammate,shot/freeze_frame/3/location/0,shot/freeze_frame/3/location/1,shot/freeze_frame/3/player/id,shot/freeze_frame/3/player/name,shot/freeze_frame/3/position/id,shot/freeze_frame/3/position/name,shot/freeze_frame/3/teammate,shot/freeze_frame/4/location/0,shot/freeze_frame/4/location/1,shot/freeze_frame/4/player/id,shot/freeze_frame/4/player/name,shot/freeze_frame/4/position/id,shot/freeze_frame/4/position/name,shot/freeze_frame/4/teammate,shot/freeze_frame/5/location/0,shot/freeze_frame/5/location/1,shot/freeze_frame/5/player/id,shot/freeze_frame/5/player/name,shot/freeze_frame/5/position/id,shot/freeze_frame/5/position/name,shot/freeze_frame/5/teammate,shot/freeze_frame/6/location/0,shot/freeze_frame/6/location/1,shot/freeze_frame/6/player/id,shot/freeze_frame/6/player/name,shot/freeze_frame/6/position/id,shot/freeze_frame/6/position/name,shot/freeze_frame/6/teammate,block/deflection,goalkeeper/technique/id,goalkeeper/technique/name,goalkeeper/position/id,goalkeeper/position/name,goalkeeper/body_part/id,goalkeeper/body_part/name,interception/outcome/id,interception/outcome/name,pass/technique/id,pass/technique/name,pass/inswinging,pass/shot_assist,shot/freeze_frame/7/location/0,shot/freeze_frame/7/location/1,shot/freeze_frame/7/player/id,shot/freeze_frame/7/player/name,shot/freeze_frame/7/position/id,shot/freeze_frame/7/position/name,shot/freeze_frame/7/teammate,shot/freeze_frame/8/location/0,shot/freeze_frame/8/location/1,shot/freeze_frame/8/player/id,shot/freeze_frame/8/player/name,shot/freeze_frame/8/position/id,shot/freeze_frame/8/position/name,shot/freeze_frame/8/teammate,shot/freeze_frame/9/location/0,shot/freeze_frame/9/location/1,shot/freeze_frame/9/player/id,shot/freeze_frame/9/player/name,shot/freeze_frame/9/position/id,shot/freeze_frame/9/position/name,shot/freeze_frame/9/teammate,goalkeeper/end_location/0,goalkeeper/end_location/1,pass/outswinging,foul_committed/advantage,foul_won/advantage,pass/deflected,shot/one_on_one,shot/first_time,block/save_block,shot/freeze_frame/10/location/0,shot/freeze_frame/10/location/1,shot/freeze_frame/10/player/id,shot/freeze_frame/10/player/name,shot/freeze_frame/10/position/id,shot/freeze_frame/10/position/name,shot/freeze_frame/10/teammate,shot/freeze_frame/11/location/0,shot/freeze_frame/11/location/1,shot/freeze_frame/11/player/id,shot/freeze_frame/11/player/name,shot/freeze_frame/11/position/id,shot/freeze_frame/11/position/name,shot/freeze_frame/11/teammate,clearance/aerial_won,shot/freeze_frame/12/location/0,shot/freeze_frame/12/location/1,shot/freeze_frame/12/player/id,shot/freeze_frame/12/player/name,shot/freeze_frame/12/position/id,shot/freeze_frame/12/position/name,shot/freeze_frame/12/teammate,shot/freeze_frame/13/location/0,shot/freeze_frame/13/location/1,shot/freeze_frame/13/player/id,shot/freeze_frame/13/player/name,shot/freeze_frame/13/position/id,shot/freeze_frame/13/position/name,shot/freeze_frame/13/teammate,shot/freeze_frame/14/location/0,shot/freeze_frame/14/location/1,shot/freeze_frame/14/player/id,shot/freeze_frame/14/player/name,shot/freeze_frame/14/position/id,shot/freeze_frame/14/position/name,shot/freeze_frame/14/teammate,clearance/left_foot,substitution/outcome/id,substitution/outcome/name,substitution/replacement/id,substitution/replacement/name,tactics/formation,tactics/lineup/0/player/id,tactics/lineup/0/player/name,tactics/lineup/0/position/id,tactics/lineup/0/position/name,tactics/lineup/0/jersey_number,tactics/lineup/1/player/id,tactics/lineup/1/player/name,tactics/lineup/1/position/id,tactics/lineup/1/position/name,tactics/lineup/1/jersey_number,tactics/lineup/2/player/id,tactics/lineup/2/player/name,tactics/lineup/2/position/id,tactics/lineup/2/position/name,tactics/lineup/2/jersey_number,tactics/lineup/3/player/id,tactics/lineup/3/player/name,tactics/lineup/3/position/id,tactics/lineup/3/position/name,tactics/lineup/3/jersey_number,tactics/lineup/4/player/id,tactics/lineup/4/player/name,tactics/lineup/4/position/id,tactics/lineup/4/position/name,tactics/lineup/4/jersey_number,tactics/lineup/5/player/id,tactics/lineup/5/player/name,tactics/lineup/5/position/id,tactics/lineup/5/position/name,tactics/lineup/5/jersey_number,tactics/lineup/6/player/id,tactics/lineup/6/player/name,tactics/lineup/6/position/id,tactics/lineup/6/position/name,tactics/lineup/6/jersey_number,tactics/lineup/7/player/id,tactics/lineup/7/player/name,tactics/lineup/7/position/id,tactics/lineup/7/position/name,tactics/lineup/7/jersey_number,tactics/lineup/8/player/id,tactics/lineup/8/player/name,tactics/lineup/8/position/id,tactics/lineup/8/position/name,tactics/lineup/8/jersey_number,tactics/lineup/9/player/id,tactics/lineup/9/player/name,tactics/lineup/9/position/id,tactics/lineup/9/position/name,tactics/lineup/9/jersey_number,tactics/lineup/10/player/id,tactics/lineup/10/player/name,tactics/lineup/10/position/id,tactics/lineup/10/position/name,tactics/lineup/10/jersey_number,miscontrol/aerial_won,shot/freeze_frame/15/location/0,shot/freeze_frame/15/location/1,shot/freeze_frame/15/player/id,shot/freeze_frame/15/player/name,shot/freeze_frame/15/position/id,shot/freeze_frame/15/position/name,shot/freeze_frame/15/teammate,shot/freeze_frame/16/location/0,shot/freeze_frame/16/location/1,shot/freeze_frame/16/player/id,shot/freeze_frame/16/player/name,shot/freeze_frame/16/position/id,shot/freeze_frame/16/position/name,shot/freeze_frame/16/teammate,dribble/overrun,related_events/4,shot/aerial_won,pass/no_touch,foul_committed/card/id,foul_committed/card/name,pass/through_ball,related_events/5,related_events/6,block/offensive
af9e2f1b-7e19-43fa-a30f-708cd1831d8b,178,1,03:38.7,3,38,16,Shot,12,23,Watford,4,From Throw In,23,Watford,5458,Odion Jude Ighalo,23,Center Forward,115.7,43.1,0.013816,42eef10c-b3d1-4f62-afce-376e84fd0782,,,,,,,,,,,,,bc4e01ee-ddcf-41c0-94ba-92ce9ba4a2a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21448,120,43.2,0.5,3b12905c-6003-4560-8c89-9aef38d8bc1a,40,Right Foot,93,Normal,TRUE,87,Open Play,97,Goal,116.1,42.3,6300,Sebastián Coates Nión,3,Right Center Back,FALSE,107,45,6870,José Manuel Jurado Marín,21,Left Wing,TRUE,120,57.4,3991,Allan Romeo Nyom,2,Right Back,TRUE,109.8,41.9,3658,DeAndre Yedlin,7,Right Wing Back,FALSE,116.5,47.5,16890,John O''Shea,4,Center Back,FALSE,119.6,53.5,22281,Duncan Watmore,15,Left Center Midfield,FALSE,119,42.7,6871,Costel Fane Pantilimon,1,Goalkeeper,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab88308d-2b2f-493a-b23d-e3d2c54ef855,328,1,08:04.4,8,4,16,Shot,20,23,Watford,1,Regular Play,23,Watford,43081,Almen Abdi,17,Right Wing,116.1,49.6,0.104182,5dcfebbe-5048-4670-8016-6f657a3c62a8,,,,,,,,,,,,,ce4e3255-d986-44ff-ad63-21248b3fd1da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07387999,117.6,47.3,,c46758ba-3cc3-4eed-af32-91889874a2e7,40,Right Foot,93,Normal,,87,Open Play,96,Blocked,115.3,42.3,5458,Odion Jude Ighalo,23,Center Forward,TRUE,105.4,30.8,6870,José Manuel Jurado Marín,21,Left Wing,TRUE,110.7,38.5,3454,Troy Deeney,19,Center Attacking Midfield,TRUE,118.5,45.3,6871,Costel Fane Pantilimon,1,Goalkeeper,FALSE,102.1,33.4,4417,Ola Toivonen,9,Right Defensive Midfield,FALSE,102.1,25.2,7171,Fabio Borini,13,Right Center Midfield,FALSE,111.8,33.9,6300,Sebastián Coates Nión,3,Right Center Back,FALSE,,,,,,,,,,,,,,115.1,43.1,16890,John O''Shea,4,Center Back,FALSE,117.2,47,10503,Billy Jones,5,Left Center Back,FALSE,115.8,48.8,3321,Patrick van Aanholt,8,Left Wing Back,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afa6ee49-6e55-4717-b725-b586c6f9ee73,443,1,10:39.5,10,39,16,Shot,23,23,Watford,1,Regular Play,23,Watford,5458,Odion Jude Ighalo,23,Center Forward,117.1,50.8,0.2073,d6e0dc57-d1f5-428c-b805-d7ee40379df1,,,,,,,,,,,,,e8d663c8-0764-4fc6-b1fb-e9c9eb5c3bff,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029191228,118,48.1,0.2,5ea4894c-dabe-4421-8fbe-95055af2c99c,40,Right Foot,93,Normal,,87,Open Play,100,Saved,110.1,48.1,43081,Almen Abdi,17,Right Wing,TRUE,112.3,44.8,3454,Troy Deeney,19,Center Attacking Midfield,TRUE,118.1,47.5,6871,Costel Fane Pantilimon,1,Goalkeeper,FALSE,111.5,37.3,3658,DeAndre Yedlin,7,Right Wing Back,FALSE,112.5,43.9,6300,Sebastián Coates Nión,3,Right Center Back,FALSE,113.8,49,10503,Billy Jones,5,Left Center Back,FALSE,116,51.5,16890,John O''Shea,4,Center Back,FALSE,,,,,,,,,,,,,,104,42.1,4429,Yann Gérard M''Vila,11,Left Defensive Midfield,FALSE,111.3,56.5,3321,Patrick van Aanholt,8,Left Wing Back,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8694587c-99c5-46da-9b9f-6eaa29c860f6,446,1,10:40.6,10,40,16,Shot,23,23,Watford,1,Regular Play,23,Watford,5458,Odion Jude Ighalo,23,Center Forward,119.5,47.4,0.404111,7360a95b-9d89-4fb3-b9c3-dbc905658e21,,,,,,,,,,,,,a6375837-007c-4773-b27e-16d54357f0b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02487211,120,42.2,,,38,Left Foot,93,Normal,,87,Open Play,96,Blocked,120,53.4,16890,John O''Shea,4,Center Back,FALSE,112.2,53.4,3321,Patrick van Aanholt,8,Left Wing Back,FALSE,108,42.2,4429,Yann Gérard M''Vila,11,Left Defensive Midfield,FALSE,115,45.8,10503,Billy Jones,5,Left Center Back,FALSE,118.2,41.5,6300,Sebastián Coates Nión,3,Right Center Back,FALSE,119.5,38.6,3658,DeAndre Yedlin,7,Right Wing Back,FALSE,117.2,47.5,6871,Costel Fane Pantilimon,1,Goalkeeper,FALSE,,,,,,,,,,,,,,118.5,40,3454,Troy Deeney,19,Center Attacking Midfield,TRUE,111.2,45.8,43081,Almen Abdi,17,Right Wing,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ace0525-4622-4a35-8791-f9619c2e940c,455,1,10:44.2,10,44,16,Shot,23,23,Watford,1,Regular Play,23,Watford,43081,Almen Abdi,17,Right Wing,112.6,36.8,0.163187,a9f72edf-f59d-4c77-ab0a-aec6cd70cafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16800435,114.4,37,0.2,b4491c11-4779-4edd-a15d-2ecd4b1ff890,38,Left Foot,91,Half Volley,,87,Open Play,100,Saved,108.5,35.1,6870,José Manuel Jurado Marín,21,Left Wing,TRUE,120,48.7,5458,Odion Jude Ighalo,23,Center Forward,TRUE,116.6,31.2,3454,Troy Deeney,19,Center Attacking Midfield,TRUE,112,29.7,4429,Yann Gérard M''Vila,11,Left Defensive Midfield,FALSE,116.4,35,10503,Billy Jones,5,Left Center Back,FALSE,115.2,39.9,16890,John O''Shea,4,Center Back,FALSE,116.6,37.4,6300,Sebastián Coates Nión,3,Right Center Back,FALSE,,,,,,,,,,,,,,117.6,35.6,3658,DeAndre Yedlin,7,Right Wing Back,FALSE,112.8,47.6,3321,Patrick van Aanholt,8,Left Wing Back,FALSE,109.6,45.1,4417,Ola Toivonen,9,Right Defensive Midfield,FALSE,,,,,,,,TRUE,,114.9,37.4,6871,Costel Fane Pantilimon,1,Goalkeeper,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f6c6ffe6-94f8-42ad-9914-f97c84cd7d2c,459,1,10:45.9,10,45,16,Shot,23,23,Watford,1,Regular Play,23,Watford,6870,José Manuel Jurado Marín,21,Left Wing,108.6,36.5,0.453686,592998d6-d21a-43e3-a33e-8d57f53eec16,,,,,,,,,,,,,e964a72a-e628-48ab-ad0c-d0237784187d,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,0.13656469,120,36.1,1.6,,40,Right Foot,93,Normal,,87,Open Play,99,Post,113.5,37,6871,Costel Fane Pantilimon,1,Goalkeeper,FALSE,113.1,44.4,3321,Patrick van Aanholt,8,Left Wing Back,FALSE,109.2,37.4,4417,Ola Toivonen,9,Right Defensive Midfield,FALSE,113.2,39.8,16890,John O''Shea,4,Center Back,FALSE,114.6,37.6,10503,Billy Jones,5,Left Center Back,FALSE,116.1,38.6,6300,Sebastián Coates Nión,3,Right Center Back,FALSE,118,37.9,3658,DeAndre Yedlin,7,Right Wing Back,FALSE,,,,,,,,,,,,,,109.8,27.1,4429,Yann Gérard M''Vila,11,Left Defensive Midfield,FALSE,118.2,47,5458,Odion Jude Ighalo,23,Center Forward,TRUE,111.2,24.7,3454,Troy Deeney,19,Center Attacking Midfield,TRUE,,,,,,,,TRUE,,112.1,38,43081,Almen Abdi,17,Right Wing,TRUE,97.4,32.1,3721,Etienne Capoue,9,Right Defensive Midfield,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b7d2249-5e15-45bd-bcf3-485ee3198016,565,1,14:03.8,14,3,16,Shot,30,41,Sunderland,3,From Free Kick,41,Sunderland,10503,Billy Jones,5,Left Center Back,87.8,31.1,1.148337,adcd50bc-ce0e-4883-9b44-a515c2bd21f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01919701,120,41.1,6,d3525847-78ff-404f-ba21-e1f558a03a84,40,Right Foot,93,Normal,,87,Open Play,98,Off T,118.5,39.6,3522,Heurelho da Silva Gomes,1,Goalkeeper,FALSE,102.2,47.7,16890,John O''Shea,4,Center Back,TRUE,102.4,43.6,3306,Nathan Aké,6,Left Back,FALSE,98.4,23.5,22281,Duncan Watmore,15,Left Center Midfield,TRUE,103.4,36.8,3288,Miguel Ángel Britos Cabrera,5,Left Center Back,FALSE,98.3,45.8,6870,José Manuel Jurado Marín,21,Left Wing,FALSE,102.4,30.8,3263,Craig Cathcart,3,Right Center Back,FALSE,,,,,,,,,,,,,,100.3,25.6,3991,Allan Romeo Nyom,2,Right Back,FALSE,91.2,34.4,3626,Ben Watson,11,Left Defensive Midfield,FALSE,95,17.9,43081,Almen Abdi,17,Right Wing,FALSE,,,,,,,,,,88.2,23.1,5458,Odion Jude Ighalo,23,Center Forward,FALSE,83.4,41.3,3454,Troy Deeney,19,Center Attacking Midfield,FALSE,,99.3,42.2,4417,Ola Toivonen,9,Right Defensive Midfield,TRUE,104,32.6,7171,Fabio Borini,13,Right Center Midfield,TRUE,98.3,15.9,3321,Patrick van Aanholt,8,Left Wing Back,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ad59dff-e576-406f-93f6-805f26561315,688,1,16:29.1,16,29,16,Shot,34,41,Sunderland,1,Regular Play,41,Sunderland,7171,Fabio Borini,13,Right Center Midfield,112.6,52.8,0.600915,5e28c6ad-2354-4ea5-8f86-c7a3b7e7e2bc,,,,,,,,,,,,,f540565a-f861-4f6b-8376-0940c4d38f24,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12161977,120,32.6,0.5,b1db803e-4736-4d5e-9dd5-9334a8dc236d,40,Right Foot,93,Normal,,87,Open Play,98,Off T,99.1,56,3306,Nathan Aké,6,Left Back,FALSE,111.2,52.9,3288,Miguel Ángel Britos Cabrera,5,Left Center Back,FALSE,108.6,31.8,22281,Duncan Watmore,15,Left Center Midfield,TRUE,109.2,41.7,9554,Steven Fletcher,23,Center Forward,TRUE,116.8,46.4,3522,Heurelho da Silva Gomes,1,Goalkeeper,FALSE,107.9,38.9,3626,Ben Watson,11,Left Defensive Midfield,FALSE,112.1,42.5,3263,Craig Cathcart,3,Right Center Back,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc42f10a-b449-4fda-b37d-9052008f8919,927,1,25:26.9,25,26,16,Shot,51,23,Watford,1,Regular Play,23,Watford,3721,Etienne Capoue,9,Right Defensive Midfield,99.6,36.5,0.624036,1c59f871-4416-42e5-871d-8bb2f806e9f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10645566,118.6,42.8,0.6,9a77dad8-167f-4a19-87bc-a8549399e16b,40,Right Foot,93,Normal,,87,Open Play,100,Saved,101.8,51.6,3454,Troy Deeney,19,Center Attacking Midfield,TRUE,95.5,39.9,5458,Odion Jude Ighalo,23,Center Forward,TRUE,87.1,25,6870,José Manuel Jurado Marín,21,Left Wing,TRUE,103.2,40.3,16890,John O''Shea,4,Center Back,FALSE,93.1,30,4429,Yann Gérard M''Vila,11,Left Defensive Midfield,FALSE,91.3,38,9554,Steven Fletcher,23,Center Forward,FALSE,91.9,33.4,10503,Billy Jones,7,Right Wing Back,FALSE,,,,,,,,,,,,,,95.2,56.3,3321,Patrick van Aanholt,5,Left Center Back,FALSE,97.8,47.8,6300,Sebastián Coates Nión,3,Right Center Back,FALSE,118.3,39.8,6871,Costel Fane Pantilimon,1,Goalkeeper,FALSE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73881aed-1ee2-4bfb-91a2-b943da13c77b,1100,1,29:09.5,29,9,16,Shot,61,41,Sunderland,1,Regular Play,41,Sunderland,18751,Jack Rodwell,8,Left Wing Back,92,29.7,1.06642,d6b131fa-8069-42de-8a4d-bd6856d45876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02375723,120,31.6,6,,38,Left Foot,93,Normal,,87,Open Play,98,Off T,101.2,19.6,22281,Duncan Watmore,15,Left Center Midfield,TRUE,95.6,48.4,7171,Fabio Borini,13,Right Center Midfield,TRUE,83.3,51.2,4429,Yann Gérard M''Vila,11,Left Defensive Midfield,TRUE,105.5,39.6,9554,Steven Fletcher,23,Center Forward,TRUE,98.6,30.3,43081,Almen Abdi,17,Right Wing,FALSE,98.2,33.7,3721,Etienne Capoue,9,Right Defensive Midfield,FALSE,103.6,28.1,3991,Allan Romeo Nyom,2,Right Back,FALSE,,,,,,,,,,,,,,104.7,34.8,3263,Craig Cathcart,3,Right Center Back,FALSE,97.1,55.5,6870,José Manuel Jurado Marín,21,Left Wing,FALSE,103.3,45.8,3288,Miguel Ángel Britos Cabrera,5,Left Center Back,FALSE,,,,,,,,,,102.2,42.1,4417,Ola Toivonen,9,Right Defensive Midfield,TRUE,103.4,39.5,3626,Ben Watson,11,Left Defensive Midfield,FALSE,,103.4,52.1,10503,Billy Jones,7,Right Wing Back,TRUE,103.8,55,3306,Nathan Aké,6,Left Back,FALSE,114.3,38.1,3522,Heurelho da Silva Gomes,1,Goalkeeper,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
